canonical_smiles,standard_value
Nc1ncc(/C=C/CNC(=O)c2cc(Br)c(Br)[nH]2)[nH]1,2500.0
COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,2800.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,2.5
NC(=O)c1cc(Br)c(Br)[nH]1,2500.0
NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,9.0
NC1=N/C(=C2/CCNC(=O)c3[nH]ccc32)C(=O)N1,824.0
Nc1nc(C2CCNC(=O)c3[nH]c(Br)c(Br)c32)c[nH]1,1288.0
O=C1CCNC(=O)c2[nH]ccc21,2500.0
O=C1CCNC(=O)c2[nH]c(Br)cc21,539.0
NC1=N/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)C(=O)N1,6.0
CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,22000.0
Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21,7000.0
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,14000.0
CC(C)=CCNc1nc(N)nc2c1ncn2C(C)C,50000.0
O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,10000.0
CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1,100000.0
Nc1nccc(-c2c[nH]c3c(Br)ccc(O)c23)n1,100000.0
COc1cc2ncnc(N3CCN(C(=O)Nc4ccc([N+](=O)[O-])cc4)CC3)c2cc1OC,30000.0
COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Br)cc4)CC3)c2cc1OC,30000.0
COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OC,30000.0
OCCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,10000.0
Nc1nc(C2=C3C(=Nc4ccccc43)C(=O)NCC2)c(O)[nH]1,89.0
Clc1cccc(Nc2cncc(-c3cncc(NCCCn4cncn4)c3)n2)c1,10000.0
OCCCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,10000.0
CN(C)CCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,10000.0
Clc1cccc(Nc2cncc(-c3cncc(NCCCc4cccnc4)c3)n2)c1,10000.0
Clc1cccc(Nc2cncc(-c3cncc(NCCCn4cccn4)c3)n2)c1,10000.0
OCCCNc1cc(-c2ncnc(Nc3cccc(Cl)c3)n2)ccn1,10000.0
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n(C2CCCC2)c1=O,10000.0
CC(CN(C)C)Oc1ccc(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,50000.0
CC1(COc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)COC1,50000.0
Cc1ccc(C(=O)Nc2ccon2)cc1Nc1ncnc(NC2CCCC2)c1C#N,5000.0
COc1cc(Nc2c(C#N)cnc3cc4cc(OCCN5CCOCC5)c(OC)cc4cc23)c(Cl)cc1Cl,20000.0
COc1cc2c(cc1OC)-c1n[nH]c(Nc3cccc(F)c3)c1C2,100000.0
Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,1900.0
Nc1nn(CCO)c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,5100.0
C=CCn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21,560.0
Cn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21,1400.0
CCCCNC(=O)N1Cc2n[nH]c(NC(=O)Cc3ccc(N4CCCC4)cc3)c2C1,280.0
CCCCNC(=O)N1Cc2n[nH]c(NC(=O)[C@@H](C)c3ccc4ccccc4c3)c2C1,380.0
N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,12850.0
COc1ccc(N2Cc3cnc(Nc4ccc(F)cc4)nc3N([C@@H]3CC[C@@H](O)C3)C2=O)cc1,12600.0
N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,910.0
Cc1nn(C)c2c1c(=O)c1cc(Cl)ccc1n2O,50000.0
Cn1nc(C(F)(F)F)c2c(=O)c3cc(Cl)ccc3n(O)c21,50000.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1,10000.0
COCCN1CC(C(N)=O)(N(C)Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1,10000.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C(C)C)C1,10000.0
